Close,High,Low,Open,Volume,Date
330.96783447265625,333.92631280848445,330.4000021616489,333.25826931329743,1478688.0,2024-01-01
332.1654663085937,334.7851458716628,330.514440262268,330.514440262268,5762516.0,2024-01-02
340.2392578125,341.1792996081451,329.65555123676506,331.63582269602915,10046344.0,2024-01-03
335.7299194335937,341.7041444900446,331.025004593692,341.1888061264917,11098328.0,2024-01-04
329.93231201171875,336.4934525730314,328.9350233063002,335.8397383658981,7713688.0,2024-01-05
341.56959853784065,331.6357621263059,326.48228553499064,330.2996756026316,8990392.0,2024-01-06
329.32635498046875,332.30391556051205,326.1817835295952,328.2956546605863,12590808.0,2024-01-07
338.9127502441406,341.17932618734324,329.05910956474395,333.06737018009176,30258176.0,2024-01-08
334.78538662876235,350.7227803187351,341.8473466943426,341.8473466943426,17119912.0,2024-01-09
351.8441772460937,352.6315141857507,347.4255422460569,347.8597751575267,7425832.0,2024-01-10
354.2586975097656,355.4325500224853,351.29544278238427,352.6601648646678,17130144.0,2024-01-11
355.49920654296875,356.68258807788266,352.502541527947,353.0131267407075,17608232.0,2024-01-12
355.9478454589844,359.2785097249504,355.0173564199804,355.876269379061,25667896.0,2024-01-13
357.8135681152344,358.82993903995856,353.53330959665686,354.25384673037604,9761944.0,2024-01-14
358.6772766113281,359.7890823603588,354.8598858170538,357.9324272718881,12102464.0,2024-01-15
359.39776611328125,360.5525360700457,356.9307914594703,357.04053211756235,6769760.0,2024-01-16
361.9363708496094,362.55669686424943,358.91586965197155,361.1347280889533,7907344.0,2024-01-17
358.6581726074219,362.361046354181,358.3289273098573,359.3119101036406,6876584.0,2024-01-18
356.18170166015625,359.20697969955955,354.1775711653486,355.0174019373601,8099048.0,2024-01-19
350.7322998046875,353.93889379763783,349.9449630256882,353.7766593636839,14108544.0,2024-01-20
354.8073425292969,357.2790934039172,348.68518891746925,349.8638174805552,8102080.0,2024-01-21
353.5142822265625,354.7024405723224,349.2912932305376,353.461788437897,7183632.0,2024-01-22
353.21368408203125,356.9022291189222,351.82510333183484,353.1086965011063,5369928.0,2024-01-23
346.3470764160156,352.34516086043203,345.931949157976,351.6771174893532,4384112.0,2024-01-24
339.852783203125,342.7969320029844,338.46420258073977,341.75192588699537,4535112.0,2024-01-25
341.7758483886719,342.5154680256735,338.1016089016313,341.6565548988329,4326992.0,2024-01-26
340.10089111328125,341.9427868662659,337.93452645644646,340.8930043779799,5749904.0,2024-01-27
340.37286376953125,343.7417156141257,338.683673098863,342.32450004240656,7551456.0,2024-01-28
341.0648193359375,343.7160362008789,339.5092277715593,341.6469575106696,6049424.0,2024-01-29
343.2073059082031,345.8751770752339,340.6760598890928,342.0382299270073,5833592.0,2024-01-30
343.5747375488281,346.18486462550226,342.91622363168426,343.6129021384429,4208712.0,2024-01-31
342.2100830078125,345.27830226151667,341.6613329518973,344.0233440621408,3588320.0,2024-02-01
347.7929077148437,349.67296786579374,343.8753060759884,345.0491583081457,5962168.0,2024-02-02
349.1147155761719,351.6771486247597,348.2271908013368,351.6771486247597,13569920.0,2024-02-03
351.3908386230469,352.59332609783286,348.0506215258696,348.0506215258696,4978240.0,2024-02-04
358.2048645019531,359.0256128623229,352.6410359246848,352.6935064097683,7064304.0,2024-02-05
