Date,High,Low,Open,Volume,Close
01-01-2024,333.9263128,330.4000022,333.2582693,1478688,330.9678345
02-01-2024,334.7851459,330.5144403,330.5144403,,332.1654663
03-01-2024,341.1792996,329.6555512,331.6358227,10046344,340.2392578
04-01-2024,341.7041445,331.0250046,341.1888061,11098328,335.7299194
05-01-2024,336.4934526,328.9350233,335.8397384,7713688,329.932312
06-01-2024,331.6357621,326.4822855,330.2996756,8990392,
07-01-2024,332.3039156,326.1817835,328.2956547,12590808,329.326355
08-01-2024,341.1793262,329.0591096,333.0673702,30258176,338.9127502
09-01-2024,350.7227803,341.8473467,341.8473467,17119912,
10-01-2024,352.6315142,347.4255422,347.8597752,7425832,351.8441772
11-01-2024,355.43255,351.2954428,352.6601649,17130144,354.2586975
12-01-2024,356.6825881,352.5025415,353.0131267,17608232,355.4992065
13-01-2024,359.2785097,355.0173564,355.8762694,25667896,355.9478455
14-01-2024,358.829939,353.5333096,354.2538467,9761944,357.8135681
15-01-2024,359.7890824,354.8598858,,12102464,358.6772766
16-01-2024,360.5525361,356.9307915,357.0405321,6769760,359.3977661
17-01-2024,362.5566969,358.9158697,361.1347281,7907344,361.9363708
18-01-2024,362.3610464,358.3289273,359.3119101,6876584,358.6581726
19-01-2024,359.2069797,354.1775712,355.0174019,8099048,356.1817017
20-01-2024,353.9388938,349.944963,353.7766594,14108544,350.7322998
21-01-2024,357.2790934,348.6851889,349.8638175,8102080,354.8073425
22-01-2024,354.7024406,349.2912932,353.4617884,7183632,353.5142822
23-01-2024,356.9022291,351.8251033,353.1086965,5369928,353.2136841
24-01-2024,352.3451609,345.9319492,351.6771175,4384112,346.3470764
25-01-2024,342.796932,338.4642026,341.7519259,4535112,339.8527832
26-01-2024,342.515468,338.1016089,341.6565549,4326992,341.7758484
27-01-2024,341.9427869,337.9345265,340.8930044,5749904,340.1008911
28-01-2024,343.7417156,338.6836731,342.3245,7551456,340.3728638
29-01-2024,,339.5092278,341.6469575,6049424,341.0648193
30-01-2024,,,342.0382299,5833592,343.2073059
31-01-2024,346.1848646,342.9162236,343.6129021,4208712,343.5747375
01-02-2024,345.2783023,341.661333,344.0233441,3588320,342.210083
02-02-2024,349.6729679,343.8753061,345.0491583,5962168,347.7929077
03-02-2024,351.6771486,348.2271908,351.6771486,13569920,349.1147156
04-02-2024,352.5933261,348.0506215,348.0506215,4978240,351.3908386
05-02-2024,359.0256129,352.6410359,352.6935064,7064304,358.2048645
06-02-2024,357.3937137,353.6813099,357.3937137,8816848,354.1823425
07-02-2024,358.3957128,355.7092335,356.5442877,5517984,357.9471741
08-02-2024,358.233537,355.9717373,357.4986938,4357608,357.8708801
09-02-2024,361.8981906,358.3575514,358.3575514,8099512,361.0201721
10-02-2024,364.3509028,359.9895381,360.7434635,7352168,363.3679199
11-02-2024,366.1974494,358.9396552,358.9396552,9839496,365.0236206
12-02-2024,,,365.0379875,7204176,362.4851074
13-02-2024,364.9855391,359.016089,,6937912,362.6092224
14-02-2024,366.8894483,,365.3147745,4943504,364.7230835
15-02-2024,367.4191663,,366.2787253,6226312,365.6965637
16-02-2024,365.8969148,353.9007687,365.2288714,15072744,356.9546814
17-02-2024,355.9430927,347.8884066,355.9430927,7432472,350.3983459
18-02-2024,353.9580438,346.5284602,348.6232489,4124272,350.7562256
19-02-2024,353.4283175,348.5277334,350.5700279,3940104,350.3696289
20-02-2024,328.2860874,318.7521623,326.3869446,40790880,320.4318237
21-02-2024,324.8505027,318.2798308,318.7522284,11167544,
22-02-2024,325.6139435,318.7521915,324.4782788,11804312,319.7590332
23-02-2024,320.4556828,309.0893913,319.7065105,15777848,312.238739
24-02-2024,319.6587706,312.0717062,312.0717062,8023032,315.2258301
