Date,Imputed_Close
01-01-2024,330.9678345
02-01-2024,332.1654663
03-01-2024,340.2392578
04-01-2024,335.7299194
05-01-2024,329.932312
06-01-2024,329.932312
07-01-2024,329.326355
08-01-2024,338.9127502
09-01-2024,338.9127502
10-01-2024,351.8441772
11-01-2024,354.2586975
12-01-2024,355.4992065
13-01-2024,355.9478455
14-01-2024,357.8135681
15-01-2024,358.6772766
16-01-2024,359.3977661
17-01-2024,361.9363708
18-01-2024,358.6581726
19-01-2024,356.1817017
20-01-2024,350.7322998
21-01-2024,354.8073425
22-01-2024,353.5142822
23-01-2024,353.2136841
24-01-2024,346.3470764
25-01-2024,339.8527832
26-01-2024,341.7758484
27-01-2024,340.1008911
28-01-2024,340.3728638
29-01-2024,341.0648193
30-01-2024,343.2073059
31-01-2024,343.5747375
01-02-2024,342.210083
02-02-2024,347.7929077
03-02-2024,349.1147156
04-02-2024,351.3908386
05-02-2024,358.2048645
06-02-2024,354.1823425
07-02-2024,357.9471741
08-02-2024,357.8708801
09-02-2024,361.0201721
10-02-2024,363.3679199
11-02-2024,365.0236206
12-02-2024,362.4851074
13-02-2024,362.6092224
14-02-2024,364.7230835
15-02-2024,365.6965637
16-02-2024,356.9546814
17-02-2024,350.3983459
18-02-2024,350.7562256
19-02-2024,350.3696289
20-02-2024,320.4318237
21-02-2024,339.291759107113
22-02-2024,319.7590332
23-02-2024,312.238739
24-02-2024,315.2258301
25-02-2024,315.473938
26-02-2024,312.6252441
27-02-2024,310.5829468
28-02-2024,310.0579529
01-03-2024,308.3545837
02-03-2024,311.3655396
03-03-2024,310.24880728875036
04-03-2024,316.2660217
05-03-2024,317.0390625
06-03-2024,317.5329352372035
07-03-2024,316.4665222
08-03-2024,314.3049011
09-03-2024,310.597229
10-03-2024,305.5058289
11-03-2024,308.7457581
12-03-2024,311.0982361
13-03-2024,301.3161926
14-03-2024,304.6326294
15-03-2024,303.7640991
16-03-2024,300.6815796
17-03-2024,302.7811584
18-03-2024,302.7811584
19-03-2024,303.0627136
20-03-2024,314.49993544580116
21-03-2024,303.2678223
22-03-2024,303.5588989
23-03-2024,307.2713013
24-03-2024,303.1867371
25-03-2024,302.0653381
26-03-2024,292.7318726
27-03-2024,292.5362549
28-03-2024,296.9405212
29-03-2024,294.7145464526976
30-03-2024,311.6184387
31-03-2024,310.5543213
01-04-2024,312.3055115
02-04-2024,303.2487488
03-04-2024,287.7406006
04-04-2024,297.9664612
05-04-2024,301.2971497
06-04-2024,297.1742859
07-04-2024,292.941803
08-04-2024,295.4621380613646
09-04-2024,292.61433724112544
10-04-2024,302.8431702
11-04-2024,282.9328613
12-04-2024,284.3743286
13-04-2024,289.5744934
14-04-2024,291.9012146
15-04-2024,288.7376404
16-04-2024,294.2182617
17-04-2024,290.5322571
18-04-2024,288.21940412788035
19-04-2024,297.5075989
20-04-2024,308.9429626
21-04-2024,307.1725464
22-04-2024,308.3286438
23-04-2024,313.857666
24-04-2024,314.118866
25-04-2024,313.5045471
26-04-2024,305.18223356136946
27-04-2024,320.8668823
28-04-2024,312.7353821
29-04-2024,309.95401
30-04-2024,310.6747437
01-05-2024,313.26029417267256
02-05-2024,311.8501892
03-05-2024,305.6422565690401
04-05-2024,311.6228638
05-05-2024,311.0665588
06-05-2024,310.621521
07-05-2024,314.0317688
08-05-2024,323.657959
09-05-2024,323.3388062
10-05-2024,320.2622681
11-05-2024,318.554657
12-05-2024,321.8392029
13-05-2024,312.0291443
14-05-2024,312.0678406
15-05-2024,312.4500427
16-05-2024,313.3884888
17-05-2024,306.03224643910994
18-05-2024,309.6540527
19-05-2024,306.8599511650707
20-05-2024,324.0450134
21-05-2024,327.2181702
22-05-2024,324.3109436
23-05-2024,326.1395874
24-05-2024,326.2459717
25-05-2024,325.8057251
26-05-2024,323.2564697
27-05-2024,335.2772217
28-05-2024,327.36687460622085
29-05-2024,345.9483032
30-05-2024,339.3211365
31-05-2024,336.931488
01-06-2024,345.7207947
02-06-2024,346.0401917
03-06-2024,349.097229
04-06-2024,349.4988403
05-06-2024,344.3954163
06-06-2024,343.2345276
07-06-2024,343.8876038
08-06-2024,343.3457642
09-06-2024,348.3813782
10-06-2024,350.9742432
11-06-2024,350.6210022
12-06-2024,351.2402344
13-06-2024,348.1686096
14-06-2024,348.2507629
15-06-2024,349.6148376
16-06-2024,342.64396169807696
17-06-2024,358.8057251
18-06-2024,360.9341736
19-06-2024,365.8584595
20-06-2024,361.4469604
21-06-2024,354.7956238
22-06-2024,356.4257813
23-06-2024,355.0471802
24-06-2024,352.2802429
25-06-2024,348.3535575726578
26-06-2024,347.3361715894818
27-06-2024,357.6689758
28-06-2024,358.1575012
29-06-2024,353.1799622
30-06-2024,348.9715881
01-07-2024,352.6188354
02-07-2024,357.088562
03-07-2024,356.0387878
04-07-2024,362.7045898
05-07-2024,362.5788269
06-07-2024,372.2098389
07-07-2024,370.6618958
08-07-2024,353.1364136
09-07-2024,352.8123474
10-07-2024,376.2103577
11-07-2024,381.4249268
12-07-2024,379.0788269
13-07-2024,379.0788269
14-07-2024,376.8364868
15-07-2024,375.5057068
