Date,Predicted_Close
2024-01-06,375.51
2024-01-09,375.51
2024-02-21,328.0799865722656
2024-03-03,307.2799987792969
2024-03-06,313.80999755859375
2024-03-20,302.3800048828125
2024-03-29,297.7699890136719
2024-04-08,297.1000061035156
2024-04-09,296.7200012207031
2024-04-18,293.7900085449219
2024-04-26,310.7900085449219
2024-05-01,310.4200134277344
2024-05-03,307.6700134277344
2024-05-17,312.20001220703125
2024-05-19,311.5199890136719
2024-05-28,324.6700134277344
2024-06-16,344.5400085449219
2024-06-25,348.6400146484375
2024-06-26,348.1300048828125
